date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2023-04-30T00:00:00Z,,12605171,12605171,32,897393159051715.498512975362974415,3301707268515.181449561352175760,897393159.0517155,3301707.2685151817,https://terra-classic-lcd.publicnode.com,
2023-05-07T00:00:00Z,,12705971,12705971,32,975532789380889.368378173073887322,3405121623319.999879528500375504,975532789.3808894,3405121.62332,https://terra-classic-lcd.publicnode.com,
2023-05-14T00:00:00Z,,12806771,12806771,32,1232033983579535.976815782223852155,3509133700847.374883734939522138,1232033983.579536,3509133.700847375,https://terra-classic-lcd.publicnode.com,
2023-05-21T00:00:00Z,,12907571,12907571,32,1359043928177285.307319864973324836,3577968933526.544831515604017526,1359043928.1772852,3577968.933526545,https://terra-classic-lcd.publicnode.com,
2023-05-28T00:00:00Z,,13008371,13008371,33,1693262554434971.142098837309763555,3712761458630.753285334594002377,1693262554.4349713,3712761.458630753,https://terra-classic-lcd.publicnode.com,
2023-06-04T00:00:00Z,,13109171,13109171,33,1846788860620403.538164974168428296,3965804260159.634396033931502181,1846788860.6204035,3965804.260159634,https://terra-classic-lcd.publicnode.com,
2023-06-11T00:00:00Z,,13209971,13209971,33,1973324581783563.986674197509488563,4217975398231.431960970972409254,1973324581.783564,4217975.398231432,https://terra-classic-lcd.publicnode.com,
2023-06-18T00:00:00Z,,13310771,13310771,33,2132566695234662.141074986278139253,4329166167279.542534500670523556,2132566695.2346623,4329166.167279542,https://terra-classic-lcd.publicnode.com,
2023-06-25T00:00:00Z,,13411571,13411571,33,2231936376020510.908318362239441594,4423150522877.979408469992622842,2231936376.020511,4423150.522877979,https://terra-classic-lcd.publicnode.com,
2023-07-02T00:00:00Z,,13512371,13512371,33,458913375377276.680834535382538029,4505757618386.999698101532402059,458913375.37727666,4505757.618387,https://terra-classic-lcd.publicnode.com,
2023-07-09T00:00:00Z,,13613171,13613171,33,553360566995263.443829989967839118,4646563201003.732202164845989613,553360566.9952635,4646563.201003732,https://terra-classic-lcd.publicnode.com,
2023-07-16T00:00:00Z,,13713971,13713971,33,688275256215840.305649888472465125,4990371673879.867226417525137043,688275256.2158402,4990371.673879867,https://terra-classic-lcd.publicnode.com,
2023-07-23T00:00:00Z,,13814771,13814771,33,781721342540574.497498292168210652,5083473008324.064430418181482929,781721342.5405746,5083473.008324064,https://terra-classic-lcd.publicnode.com,
2023-07-30T00:00:00Z,,13915571,13915571,33,865593314374400.692887389991692802,5190599571680.196130998929308478,865593314.3744007,5190599.571680197,https://terra-classic-lcd.publicnode.com,
2023-08-06T00:00:00Z,,14016371,14016371,33,958955896219586.325847685210698306,5289630554070.377281933025256440,958955896.2195864,5289630.554070377,https://terra-classic-lcd.publicnode.com,
2023-08-13T00:00:00Z,,14117171,14117171,33,1052022718593876.374320871330622644,5410909740557.999466318899732334,1052022718.5938764,5410909.740557999,https://terra-classic-lcd.publicnode.com,
2023-08-20T00:00:00Z,,14217971,14217971,34,1219472791558581.058133160264793970,5484764884363.584252315836347524,1219472791.558581,5484764.884363584,https://terra-classic-lcd.publicnode.com,
2023-08-27T00:00:00Z,,14318771,14318771,35,1514472489810117.792668950310270778,5584523822816.936728485797447513,1514472489.8101177,5584523.822816936,https://terra-classic-lcd.publicnode.com,
2023-09-03T00:00:00Z,,14419571,14419571,35,1291349052659274.667091755209682703,5648964684847.300394356809379369,1291349052.6592748,5648964.684847301,https://terra-classic-lcd.publicnode.com,
